time,instanceElectricity
02/03 07:00,2645.77108163193
02/03 08:00,2217.7555441927
02/03 09:00,2367.62258570558
02/03 10:00,3399.8351036697
02/03 11:00,2244.26990657483
02/03 12:00,2812.64536826508
02/03 13:00,4568.49757722892
02/03 14:00,3353.49169562873
02/03 15:00,4482.73713991562
02/03 16:00,2739.58922290595
02/03 17:00,2318.21401098124
02/03 18:00,3781.94913928026
02/03 19:00,6249.71050742282
02/03 20:00,4456.66555891194
02/03 21:00,2238.50516572646
02/03 22:00,5070.50643415152
02/03 23:00,337.768558513478
02/04 00:00,3112.30150719584
02/04 01:00,3708.61979238307
02/04 02:00,1949.53353779117
02/04 03:00,2357.1469036999
02/04 04:00,171.638308485048
02/04 05:00,108.540741875912
02/04 06:00,2240.86555868772
02/04 07:00,2344.58340668177
02/04 08:00,2677.01047566347
02/04 09:00,2562.99633330522
02/04 10:00,2439.14711664499
02/04 11:00,2225.92724351837
02/04 12:00,2315.09041354385
02/04 13:00,5221.98671566469
02/04 14:00,5657.60007125306
02/04 15:00,4339.30039195796
02/04 16:00,2903.8348150612
02/04 17:00,4158.51173826164
02/04 18:00,3904.24768657356
02/04 19:00,6967.2693044044
02/04 20:00,7408.61872441132
02/04 21:00,3321.73035335926
02/04 22:00,6879.04636429548
02/04 23:00,1633.50970112181
02/05 00:00,3485.19291247671
02/05 01:00,4433.11275108888
02/05 02:00,3649.52919905466
02/05 03:00,1882.13852842943
02/05 04:00,2.66479440568883
02/05 05:00,190.057648409495
02/05 06:00,2840.03251827579
02/05 07:00,3002.70825808538
02/05 08:00,2890.13425029249
02/05 09:00,2802.71549013208
02/05 10:00,2764.19149700845
02/05 11:00,2863.96374195384
02/05 12:00,2811.55244252423
02/05 13:00,4354.71935230578
02/05 14:00,3437.71707120264
02/05 15:00,3386.11577058417
02/05 16:00,2825.68480126848
02/05 17:00,2315.71546754097
02/05 18:00,2388.61786767879
02/05 19:00,6374.33696754694
02/05 20:00,4698.54458170943
02/05 21:00,2946.36488653011
02/05 22:00,3501.96291973431
02/05 23:00,3815.29121611947
02/06 00:00,2666.69437838102
02/06 01:00,2943.55688041564
02/06 02:00,4714.82125475616
02/06 03:00,2219.60487621924
02/06 04:00,726.069921416376
02/06 05:00,731.030749472406
02/06 06:00,2423.30239133824
02/06 07:00,3100.27818172561
02/06 08:00,2431.35548104853
02/06 09:00,3196.53154896269
02/06 10:00,3772.35817271677
02/06 11:00,2960.55076245443
02/06 12:00,2451.79361241991
02/06 13:00,4367.352133684
02/06 14:00,3464.80983022889
02/06 15:00,4048.78457303782
02/06 16:00,2335.35897153435
02/06 17:00,2669.98507844919
02/06 18:00,3894.7381386545
02/06 19:00,6271.40406931255
02/06 20:00,4679.46817488417
02/06 21:00,2201.66308546421
02/06 22:00,5046.79965803571
02/06 23:00,452.55192168325
02/07 00:00,2357.96511155611
02/07 01:00,2205.45015108656
02/07 02:00,2325.63828721713
02/07 03:00,2713.17877497641
02/07 04:00,273.954416595104
02/07 05:00,153.234137084598
02/07 06:00,1864.35179135856
02/07 07:00,1838.56307883124
02/07 08:00,2323.03632307028
02/07 09:00,2282.40460660957
02/07 10:00,3642.18850326983
02/07 11:00,2933.84958961206
02/07 12:00,2474.04583766361
02/07 13:00,5049.4930387356
02/07 14:00,4559.615566184
02/07 15:00,3864.23471680016
02/07 16:00,2687.48804503673
02/07 17:00,4030.5044450838
02/07 18:00,4130.34971257143
02/07 19:00,6288.13596299831
02/07 20:00,5620.35931442282
02/07 21:00,3167.75787647599
02/07 22:00,6013.76426528911
02/07 23:00,1041.09973249907
02/08 00:00,2790.60724772594
02/08 01:00,3340.24719846733
02/08 02:00,2692.10889881821
02/08 03:00,3346.25690108317
02/08 04:00,29.2524021669907
02/08 05:00,79.1346918393767
02/08 06:00,2117.13138700291
02/08 07:00,2288.35067575943
