timestamp,normalUsage,reverseUsage,instanceElectricity,instanceCurrents,instanceCurrentsT
1643601953,,,800.0,5.0,6.0
1643601983,,,856.0,,
1643602013,,,852.0,6.0,6.0
1643602043,,,932.0,,
1643602073,,,964.0,6.0,7.0
1643602103,,,772.0,,
1643602133,,,928.0,6.0,6.0
1643602163,,,804.0,,
1643602194,,,796.0,5.0,6.0
1643602223,,,824.0,,
1643602254,,,780.0,5.0,6.0
1643602283,,,520.0,,
1643602313,,,464.0,6.0,6.0
1643602344,,,316.0,,
1643602373,,,236.0,5.0,6.0
1643602403,,,220.0,,
1643602434,,,200.0,5.0,5.0
1643602463,,,296.0,,
1643602494,,,200.0,5.0,5.0
1643602524,,,196.0,,
1643602554,,,188.0,5.0,5.0
1643602584,,,184.0,,
1643602614,,,212.0,5.0,5.0
1643602644,,,192.0,,
1643602674,,,232.0,5.0,5.0
1643602704,,,232.0,,
1643602734,,,172.0,5.0,5.0
1643602764,,,140.0,,
1643602794,,,136.0,5.0,5.0
1643602824,,,132.0,,
1643602854,,,180.0,5.0,5.0
1643602884,,,144.0,,
1643602914,,,164.0,5.0,5.0
1643602944,,,144.0,,
1643602974,,,180.0,5.0,5.0
1643603004,,,240.0,,
1643603034,,,196.0,5.0,5.0
1643603064,,,208.0,,
1643603095,,,344.0,5.0,6.0
1643603124,,,332.0,,
1643603154,,,332.0,5.0,6.0
1643603184,,,276.0,,
1643603214,,,476.0,6.0,7.0
1643603245,,,532.0,,
1643603274,,,488.0,6.0,7.0
1643603304,,,492.0,,
1643603335,,,724.0,5.0,6.0
1643603365,,,768.0,,
1643603395,,,800.0,6.0,6.0
1643603400,38005.4,17041.6,,,
1643603424,,,1008.0,,
1643603455,,,884.0,6.0,6.0
1643603485,,,952.0,,
1643603515,,,808.0,5.0,6.0
1643603544,,,840.0,,
1643603575,,,1056.0,6.0,7.0
1643603605,,,1084.0,,
1643603635,,,1112.0,7.0,7.0
1643603665,,,1048.0,,
1643603695,,,1184.0,7.0,8.0
1643603725,,,1212.0,,
1643603755,,,1196.0,7.0,8.0
1643603784,,,1256.0,,
1643603815,,,1552.0,9.0,9.0
1643603845,,,1552.0,,
1643603875,,,1564.0,9.0,9.0
1643603905,,,1548.0,,
1643603935,,,1812.0,10.0,10.0
1643603965,,,1796.0,,
1643603995,,,1820.0,10.0,11.0
1643604025,,,1916.0,,
1643604055,,,2160.0,12.0,12.0
1643604085,,,2140.0,,
