time,instanceElectricity,instanceCurrents,instanceCurrentsT,normalUsage,reverseUsage,daySin,weekSin
1643595360,482.2291013,4.897840011,1.04E-78,4442.270421,1.3,0.559192903,-0.50861213
1643595420,471.9067177,5.167657601,0,4442.280701,1.3,0.562804928,-0.509148717
1643595480,491.6267009,4.830534872,1.40E-77,4442.290869,1.3,0.566406237,-0.509685107
1643595540,470.0671285,5.112573281,0,4442.300913,1.3,0.569996763,-0.510221298
1643595600,530.5002648,5.198172005,1.95E-76,4442.310823,1.3,0.573576436,-0.510757291
1643595660,524.8343088,6.397701663,0,4442.320586,1.3,0.57714519,-0.511293086
1643595720,467.3753922,5.345317641,2.71E-75,4442.330192,1.3,0.580702956,-0.511828682
1643595780,511.4934443,5.122805551,0,4442.339629,1.3,0.584249666,-0.512364079
1643595840,480.5139583,4.743052749,3.78E-74,4442.348886,1.3,0.587785252,-0.512899277
1643595900,465.3489578,5.588724196,0,4442.35795,1.3,0.591309648,-0.513434276
1643595960,499.6048213,6.00027269,5.27E-73,4442.366812,1.3,0.594822787,-0.513969076
1643596020,491.7436439,5.749222079,0,4442.375459,1.3,0.598324601,-0.514503675
1643596080,462.9214768,4.699876029,7.33E-72,4442.383881,1.3,0.601815023,-0.515038075
1643596140,433.3774297,5.235607138,0,4442.392065,1.3,0.605293988,-0.515572275
1643596200,420.4020476,4.755345973,1.05E-70,4442.4,1.3,0.608761429,-0.516106274
1643596260,388.1860178,5.234754215,0,4442.40768,1.3,0.61221728,-0.516640073
1643596320,384.4641617,4.898482336,1.42E-69,4442.415119,1.3,0.615661475,-0.517173671
1643596380,396.8480216,4.692174822,0,4442.422334,1.3,0.619093949,-0.517707068
1643596440,413.3292259,4.111225783,1.98E-68,4442.429345,1.3,0.622514637,-0.518240264
1643596500,446.382769,5.34811652,0,4442.436169,1.3,0.625923472,-0.518773258
1643596560,456.3430428,4.765274124,2.66E-67,4442.442825,1.3,0.629320391,-0.519306051
1643596620,485.9230061,5.138151624,0,4442.449331,1.3,0.632705329,-0.519838642
1643596680,514.5556303,5.182092914,3.74E-66,4442.455706,1.3,0.63607822,-0.520371032
1643596740,548.8887937,6.263751455,0,4442.461968,1.3,0.639439002,-0.520903219
1643596800,628.1304378,6.132114228,5.20E-65,4442.468136,1.3,0.64278761,-0.521435203
1643596860,647.4951446,7.338578668,0,4442.474228,1.3,0.64612398,-0.521966985
1643596920,623.1969007,6.810446099,7.24E-64,4442.480262,1.3,0.649448048,-0.522498565
1643596980,608.2161782,6.851928603,0,4442.486257,1.3,0.652759752,-0.523029941
1643597040,560.2742799,5.651052451,1.01E-62,4442.492231,1.3,0.656059029,-0.523561114
1643597100,541.6556864,6.246986594,0,4442.498203,1.3,0.659345815,-0.524092084
1643597160,521.92483,5.856371545,1.41E-61,4442.504191,1.3,0.662620048,-0.52462285
1643597220,486.8930048,5.759818894,0,4442.510213,1.3,0.665881666,-0.525153412
1643597280,502.8984599,5.045903804,1.96E-60,4442.516287,1.3,0.669130606,-0.52568377
1643597340,499.0194577,6.385848296,0,4442.522433,1.3,0.672366807,-0.526213924
1643597400,551.5931216,5.707578013,2.73E-59,4442.528669,1.3,0.675590208,-0.526743873
1643597460,585.7842879,6.288469283,0,4442.535012,1.3,0.678800746,-0.527273618
1643597520,549.0311361,5.633915225,3.80E-58,4442.541482,1.3,0.68199836,-0.527803158
1643597580,599.6990855,6.752886443,0,4442.548097,1.3,0.68518299,-0.528332492
1643597640,593.3758256,6.432734498,5.12E-57,4442.554875,1.3,0.688354576,-0.528861622
1643597700,559.1736737,6.158912259,0,4442.561835,1.3,0.691513056,-0.529390546
1643597760,591.027213,5.739616464,7.12E-56,4442.568994,1.3,0.69465837,-0.529919264
1643597820,585.5313751,6.290621883,0,4442.576372,1.3,0.69779046,-0.530447777
1643597880,590.7379992,5.689872764,9.99E-55,4442.583987,1.3,0.700909264,-0.530976083
1643597940,597.1180107,6.321023289,0,4442.591856,1.3,0.704014724,-0.531504183
1643598000,579.7606779,5.676540897,1.38E-53,4442.6,1.3,0.707106781,-0.532032077
1643598060,572.1999137,6.380726742,0,4442.608429,1.3,0.710185376,-0.532559763
1643598120,474.9558111,5.328552134,1.92E-52,4442.617133,1.3,0.713250449,-0.533087243
1643598180,429.3617208,5.161064722,0,4442.626093,1.3,0.716301943,-0.533614516
