timestamp,generatedElectricity,instanceElectricity_x,normalUsage,reverseUsage,instanceElectricity_y,instanceCurrents,instanceCurrentsT
1643594755,,,,,-3720.0,-20.0,-18.0
1643594769,2296.529,4017.0,,,,,
1643594785,,,,,-3632.0,,
1643594815,,,,,-3704.0,-20.0,-18.0
1643594829,,4030.0,,,,,
1643594845,,,,,-3648.0,,
1643594875,,,,,-3360.0,-19.0,-15.0
1643594889,,3951.0,,,,,
1643594905,,,,,-3668.0,,
1643594935,,,,,-3620.0,-19.0,-18.0
1643594949,,3921.0,,,,,
1643594965,,,,,-3560.0,,
1643594995,,,,,-3708.0,-19.0,-18.0
1643595009,,3812.0,,,,,
1643595025,,,,,-3524.0,,
1643595055,,,,,-3604.0,-19.0,-17.0
1643595069,2296.529,3884.0,,,,,
1643595086,,,,,-3760.0,,
1643595116,,,,,-3772.0,-19.0,-19.0
1643595129,,4088.0,,,,,
1643595145,,,,,-3748.0,,
1643595176,,,,,-3824.0,-20.0,-19.0
1643595189,,4068.0,,,,,
1643595206,,,,,-3800.0,,
1643595236,,,,,-3720.0,-20.0,-18.0
1643595250,,4035.0,,,,,
1643595266,,,,,-3776.0,,
1643595296,,,,,-3796.0,-20.0,-18.0
1643595310,,4067.0,,,,,
1643595326,,,,,-3836.0,,
1643595356,,,,,-3796.0,-19.0,-19.0
1643595370,2296.529,4092.0,,,,,
1643595386,,,,,-3844.0,,
1643595416,,,,,-3640.0,-18.0,-19.0
1643595430,,4153.0,,,,,
1643595446,,,,,-3908.0,,
1643595476,,,,,-3908.0,-21.0,-19.0
1643595490,,4210.0,,,,,
1643595506,,,,,-3936.0,,
1643595536,,,,,-3872.0,-20.0,-19.0
1643595550,,4169.0,,,,,
1643595566,,,,,-3848.0,,
1643595596,,,,,-3864.0,-20.0,-19.0
1643595610,,4166.0,,,,,
1643595626,,,,,-3824.0,,
1643595656,,,,,-3816.0,-20.0,-18.0
1643595670,2296.529,4170.0,,,,,
1643595686,,,,,-3812.0,,
1643595716,,,,,-3896.0,-21.0,-19.0
1643595730,,4188.0,,,,,
1643595746,,,,,-3904.0,,
1643595776,,,,,-3952.0,-21.0,-19.0
1643595790,,4298.0,,,,,
1643595806,,,,,-3964.0,,
1643595836,,,,,-4028.0,-21.0,-19.0
1643595850,,4310.0,,,,,
1643595866,,,,,-3976.0,,
1643595896,,,,,-3972.0,-21.0,-19.0
1643595910,,4329.0,,,,,
1643595926,,,,,-3752.0,,
1643595956,,,,,-3972.0,-21.0,-20.0
1643595970,2296.529,4313.0,,,,,
1643595986,,,,,-3980.0,,
1643596017,,,,,-4012.0,-21.0,-19.0
1643596030,,4347.0,,,,,
1643596046,,,,,-3752.0,,
1643596077,,,,,-3960.0,-21.0,-19.0
1643596090,,4298.0,,,,,
1643596107,,,,,-3964.0,,
1643596137,,,,,-4052.0,-21.0,-20.0
1643596150,,4305.0,,,,,
1643596166,,,,,-4000.0,,
1643596197,,,,,-3992.0,-21.0,-20.0
1643596200,,,24545.4,1799.9,,,
1643596210,,4290.0,,,,,
1643596227,,,,,-4000.0,,
1643596257,,,,,-3972.0,-21.0,-19.0
1643596271,2298.576,4257.0,,,,,
1643596287,,,,,-3956.0,,
1643596317,,,,,-4004.0,-21.0,-20.0
1643596331,,4244.0,,,,,
1643596346,,,,,-4000.0,,
1643596377,,,,,-4000.0,-21.0,-20.0
1643596391,,4266.0,,,,,
1643596407,,,,,-3960.0,,
1643596437,,,,,-3692.0,-18.0,-19.0
1643596451,,4247.0,,,,,
1643596467,,,,,-4008.0,,
1643596497,,,,,-4036.0,-21.0,-20.0
1643596511,,4280.0,,,,,
1643596527,,,,,-4040.0,,
1643596557,,,,,-4076.0,-21.0,-20.0
1643596571,2298.576,4296.0,,,,,
1643596587,,,,,-4020.0,,
1643596617,,,,,-3776.0,-20.0,-18.0
1643596631,,4277.0,,,,,
1643596647,,,,,-4128.0,,
1643596677,,,,,-4080.0,-21.0,-20.0
1643596691,,4333.0,,,,,
1643596707,,,,,-4092.0,,
1643596737,,,,,-4136.0,-21.0,-20.0
1643596751,,4345.0,,,,,
1643596767,,,,,-4100.0,,
1643596797,,,,,-4036.0,-21.0,-20.0
1643596811,,4351.0,,,,,
1643596827,,,,,-4056.0,,
1643596857,,,,,-4076.0,-21.0,-20.0
1643596871,2298.576,4364.0,,,,,
1643596887,,,,,-4088.0,,
1643596917,,,,,-4056.0,-21.0,-19.0
1643596931,,4381.0,,,,,
1643596947,,,,,-3928.0,,
1643596978,,,,,-4120.0,-21.0,-20.0
1643596991,,4362.0,,,,,
1643597007,,,,,-3996.0,,
1643597037,,,,,-4028.0,-21.0,-20.0
1643597051,,4321.0,,,,,
1643597067,,,,,-4108.0,,
1643597098,,,,,-4008.0,-21.0,-19.0
1643597111,,4363.0,,,,,
1643597127,,,,,-4036.0,,
1643597158,,,,,-4100.0,-21.0,-20.0
1643597171,2298.576,4358.0,,,,,
1643597188,,,,,-4020.0,,
1643597218,,,,,-3936.0,-21.0,-19.0
1643597232,,4318.0,,,,,
1643597248,,,,,-4068.0,,
1643597278,,,,,-3936.0,-20.0,-19.0
1643597292,,4304.0,,,,,
1643597307,,,,,-4056.0,,
1643597338,,,,,-4120.0,-21.0,-20.0
1643597352,,4316.0,,,,,
1643597368,,,,,-4072.0,,
1643597398,,,,,-4148.0,-21.0,-20.0
1643597412,,4341.0,,,,,
1643597428,,,,,-4068.0,,
1643597458,,,,,-3884.0,-19.0,-20.0
1643597472,2298.576,4337.0,,,,,
1643597488,,,,,-4124.0,,
1643597518,,,,,-4040.0,-21.0,-20.0
1643597532,,4329.0,,,,,
1643597548,,,,,-4092.0,,
1643597578,,,,,-4140.0,-21.0,-20.0
1643597592,,4344.0,,,,,
1643597608,,,,,-4148.0,,
1643597638,,,,,-4152.0,-21.0,-20.0
1643597652,,4359.0,,,,,
1643597668,,,,,-4140.0,,
1643597698,,,,,-4036.0,-21.0,-20.0
1643597712,,4337.0,,,,,
1643597728,,,,,-4140.0,,
1643597758,,,,,-4076.0,-21.0,-20.0
1643597772,2298.576,4349.0,,,,,
1643597788,,,,,-3968.0,,
1643597818,,,,,-3836.0,-21.0,-18.0
1643597832,,4352.0,,,,,
1643597848,,,,,-4080.0,,
1643597878,,,,,-3992.0,-21.0,-19.0
1643597892,,4356.0,,,,,
1643597908,,,,,-4096.0,,
1643597938,,,,,-4116.0,-21.0,-20.0
1643597952,,4382.0,,,,,
1643597968,,,,,-4052.0,,
1643597999,,,,,-4068.0,-21.0,-20.0
1643598000,,,24545.4,1801.9,,,
1643598012,,4394.0,,,,,
1643598028,,,,,-3984.0,,
1643598059,,,,,-4072.0,-21.0,-20.0
