timestamp,temperatureSetting,operationMode,operationStatus,airFlow
1646160168,22.0,67.0,49.0,65.0
1646160468,22.0,67.0,49.0,65.0
1646160768,22.0,67.0,49.0,65.0
1646161069,22.0,67.0,49.0,65.0
1646161369,22.0,67.0,49.0,65.0
1646161669,22.0,67.0,49.0,65.0
1646161970,22.0,67.0,49.0,65.0
1646162270,22.0,67.0,49.0,65.0
1646162570,22.0,67.0,49.0,65.0
1646162870,22.0,67.0,49.0,65.0
1646163171,22.0,67.0,49.0,65.0
1646163471,22.0,67.0,49.0,65.0
1646163771,22.0,67.0,49.0,65.0
1646164072,22.0,67.0,49.0,65.0
1646164372,22.0,67.0,49.0,65.0
1646164672,22.0,67.0,49.0,65.0
1646164973,22.0,67.0,49.0,65.0
1646165273,22.0,67.0,49.0,65.0
1646165573,22.0,67.0,49.0,65.0
1646165873,22.0,67.0,49.0,65.0
1646166174,22.0,67.0,49.0,65.0
1646166474,22.0,67.0,49.0,65.0
1646166774,22.0,67.0,49.0,65.0
1646167075,22.0,67.0,49.0,65.0
1646167375,22.0,67.0,49.0,65.0
1646167675,22.0,67.0,49.0,65.0
1646167976,22.0,67.0,49.0,65.0
1646168276,22.0,67.0,49.0,65.0
1646168576,22.0,67.0,49.0,65.0
1646168876,22.0,67.0,49.0,65.0
1646169177,22.0,67.0,49.0,65.0
1646169477,22.0,67.0,49.0,65.0
1646169776,22.0,67.0,49.0,65.0
1646170077,22.0,67.0,49.0,65.0
1646170377,22.0,67.0,49.0,65.0
1646170677,22.0,67.0,49.0,65.0
1646170977,22.0,67.0,49.0,65.0
1646171278,22.0,67.0,49.0,65.0
1646171578,22.0,67.0,49.0,65.0
1646171878,22.0,67.0,49.0,65.0
1646172041,22.0,67.0,49.0,65.0
1646172163,22.0,67.0,49.0,65.0
1646172179,22.0,67.0,49.0,65.0
1646172479,22.0,67.0,49.0,65.0
1646172772,22.0,67.0,49.0,65.0
1646172779,22.0,67.0,49.0,65.0
1646173080,22.0,67.0,49.0,65.0
1646173316,22.0,67.0,49.0,65.0
1646173380,22.0,67.0,49.0,65.0
1646173680,22.0,67.0,49.0,65.0
1646173980,22.0,67.0,49.0,65.0
1646174040,22.0,67.0,49.0,65.0
1646174281,20.0,67.0,48.0,65.0
1646174581,20.0,67.0,48.0,65.0
1646174881,20.0,67.0,48.0,65.0
1646175182,20.0,67.0,48.0,65.0
1646175219,20.0,67.0,48.0,65.0
1646175482,20.0,67.0,48.0,65.0
1646175782,20.0,67.0,48.0,65.0
1646176083,20.0,67.0,48.0,65.0
1646176383,20.0,67.0,48.0,65.0
1646176683,20.0,67.0,48.0,65.0
1646176984,20.0,67.0,48.0,65.0
1646177284,20.0,67.0,48.0,65.0
1646177584,20.0,67.0,48.0,65.0
1646177660,20.0,67.0,48.0,65.0
1646177669,20.0,67.0,48.0,65.0
1646177884,20.0,67.0,48.0,65.0
1646178185,20.0,67.0,48.0,65.0
1646178485,20.0,67.0,48.0,65.0
1646178785,20.0,67.0,48.0,65.0
1646179086,20.0,67.0,48.0,65.0
1646179386,20.0,67.0,48.0,65.0
1646179686,20.0,67.0,48.0,65.0
1646179987,20.0,67.0,48.0,65.0
1646180287,20.0,67.0,48.0,65.0
1646180586,20.0,67.0,48.0,65.0
1646180887,20.0,67.0,48.0,65.0
1646181187,20.0,67.0,48.0,65.0
1646181487,20.0,67.0,48.0,65.0
1646181787,20.0,67.0,48.0,65.0
1646182088,20.0,67.0,48.0,65.0
1646182388,20.0,67.0,48.0,65.0
1646182688,20.0,67.0,48.0,65.0
1646182989,20.0,67.0,48.0,65.0
1646183289,20.0,67.0,48.0,65.0
1646183589,20.0,67.0,48.0,65.0
1646183890,20.0,67.0,48.0,65.0
1646184190,20.0,67.0,48.0,65.0
1646184490,20.0,67.0,48.0,65.0
1646184790,20.0,67.0,48.0,65.0
1646185091,20.0,67.0,48.0,65.0
1646185391,20.0,67.0,48.0,65.0
1646185691,20.0,67.0,48.0,65.0
1646185992,20.0,67.0,48.0,65.0
1646186292,20.0,67.0,48.0,65.0
1646186592,20.0,67.0,48.0,65.0
1646186892,20.0,67.0,48.0,65.0
1646187193,20.0,67.0,48.0,65.0
1646187493,20.0,67.0,48.0,65.0
1646187793,20.0,67.0,48.0,65.0
1646188094,20.0,67.0,48.0,65.0
1646188394,20.0,67.0,48.0,65.0
1646188694,20.0,67.0,48.0,65.0
1646188995,20.0,67.0,48.0,65.0
1646189295,20.0,67.0,48.0,65.0
1646189595,20.0,67.0,48.0,65.0
1646189896,20.0,67.0,48.0,65.0
1646190196,20.0,67.0,48.0,65.0
1646190496,20.0,67.0,48.0,65.0
1646190797,20.0,67.0,48.0,65.0
1646191097,20.0,67.0,48.0,65.0
1646191396,20.0,67.0,48.0,65.0
1646191696,20.0,67.0,48.0,65.0
1646191997,20.0,67.0,48.0,65.0
1646192297,20.0,67.0,48.0,65.0
1646192597,20.0,67.0,48.0,65.0
1646192898,20.0,67.0,48.0,65.0
1646193198,20.0,67.0,48.0,65.0
1646193498,20.0,67.0,48.0,65.0
1646193798,20.0,67.0,48.0,65.0
1646194099,20.0,67.0,48.0,65.0
1646194399,20.0,67.0,48.0,65.0
1646194699,20.0,67.0,48.0,65.0
1646195000,20.0,67.0,48.0,65.0
1646195300,20.0,67.0,48.0,65.0
1646195600,20.0,67.0,48.0,65.0
1646195901,20.0,67.0,48.0,65.0
1646196201,20.0,67.0,48.0,65.0
1646196501,20.0,67.0,48.0,65.0
1646196802,20.0,67.0,48.0,65.0
1646197102,20.0,67.0,48.0,65.0
1646197402,20.0,67.0,48.0,65.0
1646197703,20.0,67.0,48.0,65.0
1646198003,20.0,67.0,48.0,65.0
1646198303,20.0,67.0,48.0,65.0
1646198603,20.0,67.0,48.0,65.0
1646198903,20.0,67.0,48.0,65.0
1646199204,20.0,67.0,48.0,65.0
1646199504,20.0,67.0,48.0,65.0
1646199804,20.0,67.0,48.0,65.0
1646200105,20.0,67.0,48.0,65.0
1646200405,20.0,67.0,48.0,65.0
1646200705,20.0,67.0,48.0,65.0
1646201006,20.0,67.0,48.0,65.0
1646201366,20.0,67.0,48.0,65.0
1646201606,20.0,67.0,48.0,65.0
1646201906,20.0,67.0,48.0,65.0
1646202206,20.0,67.0,48.0,65.0
1646202506,20.0,67.0,48.0,65.0
1646202807,20.0,67.0,48.0,65.0
1646203107,20.0,65.0,49.0,65.0
1646203407,20.0,65.0,49.0,65.0
1646203708,20.0,65.0,49.0,65.0
1646204008,20.0,65.0,49.0,65.0
1646204308,20.0,65.0,49.0,65.0
1646204608,20.0,65.0,49.0,65.0
1646204909,20.0,65.0,49.0,65.0
1646205209,20.0,65.0,49.0,65.0
1646205509,20.0,65.0,49.0,65.0
1646205810,20.0,65.0,49.0,65.0
1646206110,20.0,65.0,49.0,65.0
1646206410,20.0,65.0,49.0,65.0
1646206711,20.0,65.0,49.0,65.0
1646207011,20.0,65.0,49.0,65.0
1646207311,20.0,65.0,49.0,65.0
1646207611,20.0,65.0,49.0,65.0
1646207912,20.0,65.0,49.0,65.0
1646208212,20.0,65.0,49.0,65.0
1646208512,20.0,65.0,49.0,65.0
1646208813,20.0,65.0,49.0,65.0
1646209113,20.0,65.0,49.0,65.0
1646209412,20.0,65.0,49.0,65.0
1646209712,20.0,65.0,49.0,65.0
1646210013,20.0,65.0,49.0,65.0
1646210313,20.0,65.0,49.0,65.0
1646210613,20.0,65.0,49.0,65.0
1646210914,20.0,65.0,49.0,65.0
1646211214,20.0,65.0,49.0,65.0
1646211514,20.0,65.0,49.0,65.0
1646211815,20.0,65.0,49.0,65.0
1646212115,20.0,65.0,49.0,65.0
1646212415,20.0,65.0,49.0,65.0
1646212715,20.0,65.0,49.0,65.0
1646213016,20.0,65.0,49.0,65.0
1646213316,20.0,65.0,49.0,65.0
1646213617,20.0,65.0,49.0,65.0
1646213917,20.0,65.0,49.0,65.0
1646214217,20.0,65.0,49.0,65.0
1646214517,20.0,65.0,49.0,65.0
1646214818,20.0,65.0,49.0,65.0
1646215118,20.0,65.0,49.0,65.0
1646215418,20.0,65.0,49.0,65.0
1646215719,20.0,65.0,49.0,65.0
1646216019,20.0,65.0,49.0,65.0
1646216319,20.0,65.0,49.0,65.0
1646216620,20.0,65.0,49.0,65.0
1646216920,20.0,65.0,49.0,65.0
1646217220,20.0,65.0,49.0,65.0
1646217520,20.0,65.0,49.0,65.0
1646217821,20.0,65.0,49.0,65.0
1646218121,20.0,65.0,49.0,65.0
1646218421,20.0,65.0,49.0,65.0
1646218722,20.0,65.0,49.0,65.0
1646219022,20.0,65.0,49.0,65.0
1646219382,20.0,65.0,49.0,65.0
1646219623,20.0,65.0,49.0,65.0
1646219923,20.0,65.0,49.0,65.0
1646220223,20.0,65.0,49.0,65.0
1646220523,20.0,65.0,49.0,65.0
1646220824,20.0,65.0,49.0,65.0
1646221124,20.0,65.0,49.0,65.0
1646221424,20.0,65.0,49.0,65.0
1646221724,20.0,65.0,49.0,65.0
1646222025,20.0,65.0,49.0,65.0
1646222325,20.0,65.0,49.0,65.0
1646222625,20.0,65.0,49.0,65.0
1646222926,20.0,65.0,49.0,65.0
1646223226,20.0,65.0,49.0,65.0
1646223526,20.0,65.0,49.0,65.0
1646223826,20.0,65.0,49.0,65.0
1646224126,20.0,65.0,49.0,65.0
1646224426,20.0,65.0,49.0,65.0
1646224727,20.0,65.0,49.0,65.0
1646225027,20.0,65.0,49.0,65.0
1646225327,20.0,65.0,49.0,65.0
1646225628,20.0,65.0,49.0,65.0
