time,instanceElectricity,instanceCurrents,instanceCurrentsT,normalUsage,reverseUsage,instanceElectricityIN,generatedElectricity,acChargingEnergy,acDischargeableElectricEnergy,acDischargingEnergy,sin(1day),sin(7days)
1098900,3824.07906687501,21.302087790331,19.6257064613168,38961.4573399617,17041.6,-1.29061501425031e-06,22893.646,5974.098,1.37566776978022e-11,4646.544,-0.980785280403231,-0.912783265061319
1099200,3810.96327976915,21.0257402527623,19.886538572209,38961.7744093319,17041.6,1.67951530678435e-06,22893.646,5974.098,-5.13227849779748e-11,4646.544,-0.984807753012208,-0.911505852311673
1099500,3829.62397922588,20.9366447895349,19.5371061011755,38962.0889339083,17041.6,-1.65310287059545e-06,22893.646,5974.098,1.91534462214097e-10,4646.544,-0.98836151046776,-0.910219585597228
1099800,3935.36061733707,22.3157507622583,20.1203572164425,38962.4,17041.6,1.04689389824382e-06,22893.646,5974.098,-7.17119142515973e-10,4646.544,-0.991444861373809,-0.908924477412212
1100100,3876.33075418616,22.5057421366488,19.8476591406956,38962.7074226117,17041.6,1.72798660001939e-07,22893.646,5974.098,2.66193341300534e-09,4646.544,-0.99405633822232,-0.907620540336729
1100400,3814.11623434639,21.5925423292868,19.3790996992354,38963.0139315323,17041.6,-1.84244389953074e-06,22893.646,5974.09800000001,-9.93099290293384e-09,4646.544,-0.996194698091745,-0.90630778703665
1100700,3930.74301891352,22.0893049658576,20.0401461529497,38963.3229852466,17041.6,3.57507541758725e-06,22893.646,5974.09799999995,3.706203819873e-08,4646.544,-0.997858923238603,-0.90498623026348
1101000,3786.30101616182,21.7073249222943,19.5497213340319,38963.6380422395,17041.6,-4.80015057072055e-06,22893.646,5974.09800000017,-1.38755964150386e-07,4646.544,-0.999048221581857,-0.903655882854237
1101300,3345.72651716991,19.4090312845042,17.2505112546935,38963.9625609957,17041.6,4.88338825042833e-06,22893.646,5974.09799999935,5.15033631924913e-07,4646.544,-0.999762027079909,-0.902316757731327
1101600,3489.69477497447,19.4472116306915,17.9568050690534,38964.3,17041.6,-3.31872073957746e-06,22893.646,5974.09800000241,-1.92145357749894e-06,4646.544,-1,-0.900968867902419
1101900,3330.72355229174,18.429393856158,17.0177509291099,38964.6520138744,17041.6,-4.36563593878781e-08,22893.646,5974.09799999099,7.17078067807085e-06,4646.544,-0.999762027079909,-0.89961222646032
