timestamp,normalUsage,reverseUsage,instanceElectricity,instanceCurrents,instanceCurrentsT,evRemainingChargableCapacity,evRemainingDischargableCapacity,vehicleStatus
1643592893,,,-1500.0,,,,,
1643592924,,,-1508.0,-7.0,-9.0,,,
1643592953,,,-1512.0,,,,,
1643592984,,,-1576.0,-7.0,-9.0,,,
1643593013,,,-1584.0,,,,,
1643593044,,,-1588.0,-7.0,-9.0,,,
1643593073,,,-1600.0,,,,,
1643593104,,,-72.0,4.0,-3.0,,,
1643593133,,,-124.0,,,,,
1643593164,,,-1812.0,-8.0,-11.0,,,
1643593194,,,-1960.0,,,,,
1643593224,,,-1972.0,-9.0,-11.0,,,
1643593253,,,-1972.0,,,,,
1643593285,,,-1972.0,-9.0,-11.0,,,
1643593313,,,,,,0.0,10200.0,66.0
1643593314,,,-1972.0,,,,,
1643593345,,,-1988.0,-9.0,-11.0,,,
1643593375,,,-1992.0,,,,,
1643593405,,,-1760.0,-8.0,-10.0,,,
1643593434,,,-1700.0,,,,,
1643593463,,,-1672.0,-7.0,-9.0,,,
1643593493,,,-1648.0,,,,,
1643593524,,,-1652.0,-7.0,-9.0,,,
1643593553,,,-1644.0,,,,,
1643593584,,,-1632.0,-7.0,-9.0,,,
1643593613,,,-1680.0,,,,,
1643593644,,,-1680.0,-7.0,-9.0,,,
1643593673,,,-1672.0,,,,,
1643593704,,,-1672.0,-7.0,-9.0,,,
1643593733,,,-1788.0,,,,,
1643593764,,,-1912.0,-9.0,-11.0,,,
1643593793,,,-2024.0,,,,,
1643593824,,,-2032.0,-9.0,-11.0,,,
1643593853,,,-2044.0,,,,,
1643593884,,,-2044.0,-9.0,-11.0,,,
1643593913,,,-2048.0,,,0.0,10200.0,66.0
1643593944,,,-2060.0,-9.0,-11.0,,,
1643593973,,,-2052.0,,,,,
1643594004,,,-1800.0,-9.0,-9.0,,,
1643594035,,,-2028.0,,,,,
1643594064,,,-1796.0,-8.0,-10.0,,,
1643594093,,,-1768.0,,,,,
1643594124,,,-1704.0,-8.0,-10.0,,,
1643594154,,,-1664.0,,,,,
1643594184,,,-1668.0,-7.0,-9.0,,,
1643594213,,,-1672.0,,,,,
1643594244,,,-1652.0,-7.0,-9.0,,,
1643594273,,,-1636.0,,,,,
1643594305,,,-1704.0,-8.0,-10.0,,,
1643594333,,,-1708.0,,,,,
1643594364,,,-1832.0,-8.0,-10.0,,,
1643594394,,,-1852.0,,,,,
1643594400,6088.8,1096.3,,,,,,
1643594424,,,-2068.0,-9.0,-11.0,,,
1643594454,,,-2072.0,,,,,
1643594485,,,-2068.0,-9.0,-11.0,,,
1643594513,,,,,,0.0,10200.0,66.0
1643594514,,,-2068.0,,,,,
1643594546,,,-2076.0,-9.0,-11.0,,,
1643594574,,,-2076.0,,,,,
1643594605,,,-2068.0,-9.0,-11.0,,,
1643594634,,,-2076.0,,,,,
1643594665,,,-1884.0,-8.0,-10.0,,,
1643594694,,,-1796.0,,,,,
1643594725,,,-1764.0,-8.0,-10.0,,,
1643594754,,,-1692.0,,,,,
1643594785,,,-1680.0,-7.0,-9.0,,,
1643594814,,,-1668.0,,,,,
1643594845,,,-1656.0,-7.0,-9.0,,,
1643594874,,,-1656.0,,,,,
1643594905,,,-1708.0,-8.0,-10.0,,,
1643594934,,,-1724.0,,,,,
1643594965,,,-1704.0,-8.0,-10.0,,,
1643594994,,,-1716.0,,,,,
1643595025,,,-1860.0,-8.0,-10.0,,,
1643595054,,,-2084.0,,,,,
1643595085,,,-2084.0,-9.0,-11.0,,,
1643595114,,,-2116.0,,,0.0,10200.0,66.0
1643595145,,,-2100.0,-9.0,-11.0,,,
1643595175,,,-1868.0,,,,,
1643595205,,,-2112.0,-9.0,-11.0,,,
1643595234,,,-2108.0,,,,,
1643595265,,,-2088.0,-9.0,-11.0,,,
1643595296,,,-2100.0,,,,,
1643595326,,,-2104.0,-9.0,-11.0,,,
1643595355,,,-2096.0,,,,,
1643595386,,,-2100.0,-9.0,-11.0,,,
1643595415,,,-2100.0,,,,,
1643595446,,,-2092.0,-9.0,-11.0,,,
1643595475,,,-2092.0,,,,,
1643595505,,,-1948.0,-8.0,-11.0,,,
1643595535,,,-1828.0,,,,,
1643595565,,,-1792.0,-8.0,-10.0,,,
1643595595,,,-1720.0,,,,,
1643595626,,,-1720.0,-7.0,-10.0,,,
1643595655,,,-1716.0,,,,,
1643595686,,,-1704.0,-7.0,-10.0,,,
1643595714,,,,,,0.0,10200.0,66.0
1643595715,,,-1692.0,,,,,
1643595746,,,-2100.0,-9.0,-11.0,,,
1643595775,,,-2104.0,,,,,
1643595806,,,-2088.0,-9.0,-11.0,,,
1643595835,,,-2088.0,,,,,
1643595866,,,-2084.0,-9.0,-11.0,,,
1643595896,,,-2092.0,,,,,
1643595926,,,-2100.0,-9.0,-11.0,,,
1643595955,,,-2096.0,,,,,
