timestamp,normalUsage,reverseUsage,instanceElectricity,instanceCurrents,instanceCurrentsT
1643594622,,,-2.0,2.0,-1.0
1643594650,,,-7.0,,
1643594682,,,4.0,-2.0,3.0
1643594710,,,0.0,,
1643594741,,,-5.0,-2.0,3.0
1643594770,,,-13.0,,
1643594801,,,-6.0,-2.0,3.0
1643594830,,,2.0,,
1643594864,,,3.0,-2.0,3.0
1643594890,,,1.0,,
1643594921,,,8.0,-2.0,4.0
1643594950,,,-4.0,,
1643594981,,,4.0,-2.0,4.0
1643595010,,,9.0,,
1643595041,,,2.0,-2.0,3.0
1643595070,,,7.0,,
1643595102,,,-543.0,-4.0,-4.0
1643595130,,,-1057.0,,
1643595162,,,-1016.0,-6.0,-6.0
1643595191,,,-1017.0,,
1643595222,,,-1011.0,-6.0,-6.0
1643595251,,,-912.0,,
1643595282,,,-950.0,-6.0,-5.0
1643595311,,,-948.0,,
1643595342,,,-928.0,-6.0,-5.0
1643595372,,,-919.0,,
1643595403,,,-900.0,-6.0,-5.0
1643595431,,,-868.0,,
1643595462,,,-914.0,-6.0,-5.0
1643595491,,,-917.0,,
1643595522,,,-919.0,-6.0,-5.0
1643595551,,,-915.0,,
1643595582,,,-1272.0,-6.0,-7.0
1643595611,,,-1233.0,,
1643595642,,,-1245.0,-6.0,-7.0
1643595671,,,-1285.0,,
1643595702,,,-1286.0,-6.0,-7.0
1643595731,,,-1287.0,,
1643595762,,,-1319.0,-6.0,-7.0
1643595791,,,-1102.0,,
1643595822,,,-979.0,-6.0,-5.0
1643595851,,,-968.0,,
1643595883,,,-993.0,-6.0,-5.0
1643595911,,,-957.0,,
1643595943,,,-969.0,-6.0,-5.0
1643595971,,,-948.0,,
1643596002,,,-934.0,-6.0,-5.0
1643596031,,,-895.0,,
1643596062,,,-894.0,-6.0,-5.0
1643596090,,,-1077.0,,
1643596122,,,-1158.0,-6.0,-6.0
1643596150,,,-1170.0,,
1643596182,,,-1335.0,-6.0,-7.0
1643596200,4721.9,589.0,,,
1643596211,,,-1333.0,,
1643596242,,,-1327.0,-6.0,-7.0
1643596270,,,-1269.0,,
1643596302,,,-1295.0,-6.0,-7.0
1643596331,,,-1328.0,,
1643596362,,,-1225.0,-6.0,-6.0
1643596390,,,-1007.0,,
1643596422,,,-991.0,-6.0,-5.0
1643596451,,,-959.0,,
1643596482,,,-912.0,-6.0,-5.0
1643596511,,,-915.0,,
1643596543,,,-811.0,-6.0,4.0
1643596571,,,-895.0,,
1643596602,,,-895.0,-6.0,-5.0
1643596631,,,-876.0,,
1643596663,,,-963.0,-6.0,-5.0
1643596691,,,-1060.0,,
1643596722,,,-1055.0,-6.0,-5.0
1643596751,,,-1088.0,,
1643596783,,,-1286.0,-6.0,-7.0
1643596811,,,-1292.0,,
1643596842,,,-1290.0,-6.0,-7.0
1643596871,,,-1285.0,,
1643596906,,,-1313.0,-6.0,-7.0
1643596931,,,-1247.0,,
1643596963,,,-1159.0,-6.0,-6.0
1643596991,,,-986.0,,
1643597023,,,-1000.0,-6.0,-5.0
1643597051,,,-985.0,,
1643597083,,,-981.0,-6.0,-5.0
1643597112,,,-986.0,,
1643597143,,,-896.0,-6.0,-5.0
1643597172,,,-1271.0,,
1643597204,,,-1321.0,-6.0,-7.0
1643597232,,,-1250.0,,
1643597263,,,-782.0,-5.0,-6.0
1643597292,,,-674.0,,
1643597323,,,-593.0,-5.0,-6.0
1643597352,,,-515.0,,
1643597383,,,-347.0,-5.0,-5.0
1643597412,,,-46.0,,
1643597443,,,257.0,6.0,-7.0
1643597472,,,24.0,,
1643597503,,,-264.0,-5.0,-5.0
1643597532,,,49.0,,
1643597563,,,44.0,8.0,-8.0
1643597592,,,52.0,,
1643597623,,,58.0,8.0,-8.0
1643597652,,,62.0,,
1643597683,,,60.0,9.0,-8.0
1643597712,,,65.0,,
1643597743,,,50.0,9.0,-8.0
1643597772,,,60.0,,
1643597804,,,-473.0,-4.0,-5.0
1643597832,,,-469.0,,
1643597864,,,-544.0,-4.0,-5.0
1643597892,,,-590.0,,
1643597923,,,-662.0,-4.0,-6.0
1643597953,,,-765.0,,
1643597984,,,-768.0,-4.0,-6.0
1643598000,4721.9,589.4,,,
1643598012,,,-767.0,,
1643598044,,,-752.0,-4.0,-5.0
1643598073,,,-755.0,,
1643598104,,,-820.0,-4.0,-6.0
1643598133,,,-819.0,,
1643598164,,,-824.0,-4.0,-6.0
1643598193,,,-890.0,,
1643598224,,,-895.0,-4.0,-6.0
1643598253,,,-859.0,,
1643598284,,,-869.0,-5.0,-6.0
1643598313,,,-976.0,,
1643598344,,,-998.0,-5.0,-6.0
1643598373,,,-972.0,,
1643598404,,,-983.0,-5.0,-6.0
1643598433,,,-979.0,,
1643598464,,,-968.0,-5.0,-6.0
1643598493,,,-931.0,,
1643598525,,,-956.0,-5.0,-6.0
1643598553,,,-972.0,,
1643598585,,,-983.0,-5.0,-6.0
1643598613,,,-979.0,,
1643598645,,,-965.0,-5.0,-6.0
1643598673,,,-942.0,,
1643598705,,,-904.0,-5.0,-6.0
1643598733,,,-892.0,,
1643598764,,,-73.0,-5.0,4.0
1643598794,,,-63.0,,
1643598826,,,-76.0,-5.0,4.0
1643598854,,,-75.0,,
1643598885,,,-115.0,-5.0,4.0
1643598913,,,-97.0,,
1643598944,,,-70.0,-5.0,4.0
1643598974,,,-94.0,,
1643599005,,,-104.0,-5.0,4.0
1643599034,,,-106.0,,
1643599065,,,-109.0,-5.0,4.0
1643599095,,,-108.0,,
1643599125,,,-107.0,-5.0,4.0
1643599155,,,-87.0,,
1643599185,,,29.0,-6.0,4.0
1643599214,,,-101.0,,
1643599245,,,-109.0,-5.0,4.0
1643599274,,,-95.0,,
1643599305,,,-103.0,-5.0,4.0
1643599334,,,-100.0,,
1643599365,,,-38.0,-4.0,4.0
1643599394,,,8.0,,
1643599425,,,16.0,-5.0,5.0
1643599454,,,-30.0,,
1643599485,,,-50.0,-5.0,4.0
1643599514,,,-39.0,,
1643599547,,,-1.0,-4.0,4.0
